"Notes"	"Residence County"	"Residence County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths
	"Monterey County, CA"	"06053"	"35-44 years"	"35-44"	15
	"Monterey County, CA"	"06053"	"45-54 years"	"45-54"	24
	"Monterey County, CA"	"06053"	"55-64 years"	"55-64"	78
	"Monterey County, CA"	"06053"	"65-74 years"	"65-74"	118
	"Napa County, CA"	"06055"	"45-54 years"	"45-54"	13
	"Napa County, CA"	"06055"	"55-64 years"	"55-64"	29
	"Napa County, CA"	"06055"	"65-74 years"	"65-74"	57
	"Nevada County, CA"	"06057"	"45-54 years"	"45-54"	11
	"Nevada County, CA"	"06057"	"55-64 years"	"55-64"	21
	"Nevada County, CA"	"06057"	"65-74 years"	"65-74"	58
	"Orange County, CA"	"06059"	"35-44 years"	"35-44"	79
	"Orange County, CA"	"06059"	"45-54 years"	"45-54"	257
	"Orange County, CA"	"06059"	"55-64 years"	"55-64"	672
	"Orange County, CA"	"06059"	"65-74 years"	"65-74"	1092
	"Placer County, CA"	"06061"	"45-54 years"	"45-54"	28
	"Placer County, CA"	"06061"	"55-64 years"	"55-64"	93
	"Placer County, CA"	"06061"	"65-74 years"	"65-74"	187
	"Plumas County, CA"	"06063"	"65-74 years"	"65-74"	12
	"Riverside County, CA"	"06065"	"35-44 years"	"35-44"	98
	"Riverside County, CA"	"06065"	"45-54 years"	"45-54"	267
	"Riverside County, CA"	"06065"	"55-64 years"	"55-64"	685
	"Riverside County, CA"	"06065"	"65-74 years"	"65-74"	1332
	"Sacramento County, CA"	"06067"	"35-44 years"	"35-44"	69
	"Sacramento County, CA"	"06067"	"45-54 years"	"45-54"	172
	"Sacramento County, CA"	"06067"	"55-64 years"	"55-64"	472
	"Sacramento County, CA"	"06067"	"65-74 years"	"65-74"	798
	"San Benito County, CA"	"06069"	"65-74 years"	"65-74"	21
	"San Bernardino County, CA"	"06071"	"35-44 years"	"35-44"	101
	"San Bernardino County, CA"	"06071"	"45-54 years"	"45-54"	274
	"San Bernardino County, CA"	"06071"	"55-64 years"	"55-64"	668
	"San Bernardino County, CA"	"06071"	"65-74 years"	"65-74"	1114
	"San Diego County, CA"	"06073"	"35-44 years"	"35-44"	81
	"San Diego County, CA"	"06073"	"45-54 years"	"45-54"	225
	"San Diego County, CA"	"06073"	"55-64 years"	"55-64"	634
	"San Diego County, CA"	"06073"	"65-74 years"	"65-74"	1296
	"San Francisco County, CA"	"06075"	"35-44 years"	"35-44"	24
	"San Francisco County, CA"	"06075"	"45-54 years"	"45-54"	53
	"San Francisco County, CA"	"06075"	"55-64 years"	"55-64"	180
	"San Francisco County, CA"	"06075"	"65-74 years"	"65-74"	317
	"San Joaquin County, CA"	"06077"	"35-44 years"	"35-44"	30
	"San Joaquin County, CA"	"06077"	"45-54 years"	"45-54"	79
	"San Joaquin County, CA"	"06077"	"55-64 years"	"55-64"	205
	"San Joaquin County, CA"	"06077"	"65-74 years"	"65-74"	352
	"San Luis Obispo County, CA"	"06079"	"45-54 years"	"45-54"	17
	"San Luis Obispo County, CA"	"06079"	"55-64 years"	"55-64"	65
	"San Luis Obispo County, CA"	"06079"	"65-74 years"	"65-74"	131
	"San Mateo County, CA"	"06081"	"35-44 years"	"35-44"	15
	"San Mateo County, CA"	"06081"	"45-54 years"	"45-54"	54
	"San Mateo County, CA"	"06081"	"55-64 years"	"55-64"	145
	"San Mateo County, CA"	"06081"	"65-74 years"	"65-74"	212
	"Santa Barbara County, CA"	"06083"	"35-44 years"	"35-44"	13
	"Santa Barbara County, CA"	"06083"	"45-54 years"	"45-54"	27
	"Santa Barbara County, CA"	"06083"	"55-64 years"	"55-64"	77
	"Santa Barbara County, CA"	"06083"	"65-74 years"	"65-74"	158
	"Santa Clara County, CA"	"06085"	"35-44 years"	"35-44"	34
	"Santa Clara County, CA"	"06085"	"45-54 years"	"45-54"	123
	"Santa Clara County, CA"	"06085"	"55-64 years"	"55-64"	306
	"Santa Clara County, CA"	"06085"	"65-74 years"	"65-74"	500
	"Santa Cruz County, CA"	"06087"	"45-54 years"	"45-54"	17
	"Santa Cruz County, CA"	"06087"	"55-64 years"	"55-64"	39
	"Santa Cruz County, CA"	"06087"	"65-74 years"	"65-74"	95
	"Shasta County, CA"	"06089"	"35-44 years"	"35-44"	12
	"Shasta County, CA"	"06089"	"45-54 years"	"45-54"	20
	"Shasta County, CA"	"06089"	"55-64 years"	"55-64"	90
	"Shasta County, CA"	"06089"	"65-74 years"	"65-74"	146
	"Siskiyou County, CA"	"06093"	"45-54 years"	"45-54"	10
	"Siskiyou County, CA"	"06093"	"55-64 years"	"55-64"	17
	"Siskiyou County, CA"	"06093"	"65-74 years"	"65-74"	42
	"Solano County, CA"	"06095"	"35-44 years"	"35-44"	21
	"Solano County, CA"	"06095"	"45-54 years"	"45-54"	43
	"Solano County, CA"	"06095"	"55-64 years"	"55-64"	127
	"Solano County, CA"	"06095"	"65-74 years"	"65-74"	218
	"Sonoma County, CA"	"06097"	"45-54 years"	"45-54"	21
	"Sonoma County, CA"	"06097"	"55-64 years"	"55-64"	98
	"Sonoma County, CA"	"06097"	"65-74 years"	"65-74"	214
	"Stanislaus County, CA"	"06099"	"35-44 years"	"35-44"	26
	"Stanislaus County, CA"	"06099"	"45-54 years"	"45-54"	70
	"Stanislaus County, CA"	"06099"	"55-64 years"	"55-64"	197
	"Stanislaus County, CA"	"06099"	"65-74 years"	"65-74"	277
	"Sutter County, CA"	"06101"	"55-64 years"	"55-64"	32
	"Sutter County, CA"	"06101"	"65-74 years"	"65-74"	58
	"Tehama County, CA"	"06103"	"45-54 years"	"45-54"	10
	"Tehama County, CA"	"06103"	"55-64 years"	"55-64"	28
	"Tehama County, CA"	"06103"	"65-74 years"	"65-74"	41
	"Trinity County, CA"	"06105"	"65-74 years"	"65-74"	11
	"Tulare County, CA"	"06107"	"35-44 years"	"35-44"	26
	"Tulare County, CA"	"06107"	"45-54 years"	"45-54"	51
	"Tulare County, CA"	"06107"	"55-64 years"	"55-64"	137
	"Tulare County, CA"	"06107"	"65-74 years"	"65-74"	205
	"Tuolumne County, CA"	"06109"	"55-64 years"	"55-64"	28
	"Tuolumne County, CA"	"06109"	"65-74 years"	"65-74"	56
	"Ventura County, CA"	"06111"	"35-44 years"	"35-44"	18
	"Ventura County, CA"	"06111"	"45-54 years"	"45-54"	44
	"Ventura County, CA"	"06111"	"55-64 years"	"55-64"	166
	"Ventura County, CA"	"06111"	"65-74 years"	"65-74"	276
	"Yolo County, CA"	"06113"	"45-54 years"	"45-54"	17
	"Yolo County, CA"	"06113"	"55-64 years"	"55-64"	30
	"Yolo County, CA"	"06113"	"65-74 years"	"65-74"	71
	"Yuba County, CA"	"06115"	"45-54 years"	"45-54"	16
	"Yuba County, CA"	"06115"	"55-64 years"	"55-64"	32
	"Yuba County, CA"	"06115"	"65-74 years"	"65-74"	45
	"Adams County, CO"	"08001"	"35-44 years"	"35-44"	13
	"Adams County, CO"	"08001"	"45-54 years"	"45-54"	38
	"Adams County, CO"	"08001"	"55-64 years"	"55-64"	101
	"Adams County, CO"	"08001"	"65-74 years"	"65-74"	178
	"Alamosa County, CO"	"08003"	"65-74 years"	"65-74"	12
	"Arapahoe County, CO"	"08005"	"35-44 years"	"35-44"	15
	"Arapahoe County, CO"	"08005"	"45-54 years"	"45-54"	49
	"Arapahoe County, CO"	"08005"	"55-64 years"	"55-64"	132
	"Arapahoe County, CO"	"08005"	"65-74 years"	"65-74"	185
	"Archuleta County, CO"	"08007"	"65-74 years"	"65-74"	10
	"Boulder County, CO"	"08013"	"35-44 years"	"35-44"	11
	"Boulder County, CO"	"08013"	"45-54 years"	"45-54"	14
	"Boulder County, CO"	"08013"	"55-64 years"	"55-64"	52
	"Boulder County, CO"	"08013"	"65-74 years"	"65-74"	89
	"Broomfield County, CO"	"08014"	"65-74 years"	"65-74"	14
	"Delta County, CO"	"08029"	"65-74 years"	"65-74"	22
	"Denver County, CO"	"08031"	"35-44 years"	"35-44"	25
	"Denver County, CO"	"08031"	"45-54 years"	"45-54"	58
	"Denver County, CO"	"08031"	"55-64 years"	"55-64"	158
	"Denver County, CO"	"08031"	"65-74 years"	"65-74"	276
	"Douglas County, CO"	"08035"	"45-54 years"	"45-54"	17
	"Douglas County, CO"	"08035"	"55-64 years"	"55-64"	43
	"Douglas County, CO"	"08035"	"65-74 years"	"65-74"	64
	"Elbert County, CO"	"08039"	"65-74 years"	"65-74"	13
	"El Paso County, CO"	"08041"	"35-44 years"	"35-44"	29
	"El Paso County, CO"	"08041"	"45-54 years"	"45-54"	79
	"El Paso County, CO"	"08041"	"55-64 years"	"55-64"	184
	"El Paso County, CO"	"08041"	"65-74 years"	"65-74"	255
	"Fremont County, CO"	"08043"	"55-64 years"	"55-64"	16
	"Fremont County, CO"	"08043"	"65-74 years"	"65-74"	36
	"Garfield County, CO"	"08045"	"55-64 years"	"55-64"	12
	"Garfield County, CO"	"08045"	"65-74 years"	"65-74"	25
	"Jefferson County, CO"	"08059"	"35-44 years"	"35-44"	21
	"Jefferson County, CO"	"08059"	"45-54 years"	"45-54"	55
	"Jefferson County, CO"	"08059"	"55-64 years"	"55-64"	137
	"Jefferson County, CO"	"08059"	"65-74 years"	"65-74"	250
	"La Plata County, CO"	"08067"	"55-64 years"	"55-64"	10
	"La Plata County, CO"	"08067"	"65-74 years"	"65-74"	30
	"Larimer County, CO"	"08069"	"35-44 years"	"35-44"	11
	"Larimer County, CO"	"08069"	"45-54 years"	"45-54"	28
	"Larimer County, CO"	"08069"	"55-64 years"	"55-64"	82
	"Larimer County, CO"	"08069"	"65-74 years"	"65-74"	140
	"Las Animas County, CO"	"08071"	"65-74 years"	"65-74"	15
	"Logan County, CO"	"08075"	"65-74 years"	"65-74"	15
	"Mesa County, CO"	"08077"	"55-64 years"	"55-64"	49
	"Mesa County, CO"	"08077"	"65-74 years"	"65-74"	112
	"Montezuma County, CO"	"08083"	"65-74 years"	"65-74"	19
	"Montrose County, CO"	"08085"	"65-74 years"	"65-74"	33
	"Morgan County, CO"	"08087"	"55-64 years"	"55-64"	10
	"Morgan County, CO"	"08087"	"65-74 years"	"65-74"	12
	"Otero County, CO"	"08089"	"55-64 years"	"55-64"	15
	"Otero County, CO"	"08089"	"65-74 years"	"65-74"	15
	"Park County, CO"	"08093"	"65-74 years"	"65-74"	17
	"Pueblo County, CO"	"08101"	"35-44 years"	"35-44"	12
	"Pueblo County, CO"	"08101"	"45-54 years"	"45-54"	24
	"Pueblo County, CO"	"08101"	"55-64 years"	"55-64"	54
	"Pueblo County, CO"	"08101"	"65-74 years"	"65-74"	98
	"Teller County, CO"	"08119"	"55-64 years"	"55-64"	12
	"Teller County, CO"	"08119"	"65-74 years"	"65-74"	15
	"Weld County, CO"	"08123"	"45-54 years"	"45-54"	22
	"Weld County, CO"	"08123"	"55-64 years"	"55-64"	50
	"Weld County, CO"	"08123"	"65-74 years"	"65-74"	103
	"Fairfield County, CT"	"09001"	"35-44 years"	"35-44"	17
	"Fairfield County, CT"	"09001"	"45-54 years"	"45-54"	64
	"Fairfield County, CT"	"09001"	"55-64 years"	"55-64"	164
	"Fairfield County, CT"	"09001"	"65-74 years"	"65-74"	289
	"Hartford County, CT"	"09003"	"35-44 years"	"35-44"	35
	"Hartford County, CT"	"09003"	"45-54 years"	"45-54"	77
	"Hartford County, CT"	"09003"	"55-64 years"	"55-64"	235
	"Hartford County, CT"	"09003"	"65-74 years"	"65-74"	369
	"Litchfield County, CT"	"09005"	"45-54 years"	"45-54"	11
	"Litchfield County, CT"	"09005"	"55-64 years"	"55-64"	48
	"Litchfield County, CT"	"09005"	"65-74 years"	"65-74"	101
	"Middlesex County, CT"	"09007"	"45-54 years"	"45-54"	11
	"Middlesex County, CT"	"09007"	"55-64 years"	"55-64"	39
	"Middlesex County, CT"	"09007"	"65-74 years"	"65-74"	60
	"New Haven County, CT"	"09009"	"35-44 years"	"35-44"	32
	"New Haven County, CT"	"09009"	"45-54 years"	"45-54"	74
	"New Haven County, CT"	"09009"	"55-64 years"	"55-64"	255
	"New Haven County, CT"	"09009"	"65-74 years"	"65-74"	364
	"New London County, CT"	"09011"	"35-44 years"	"35-44"	19
	"New London County, CT"	"09011"	"45-54 years"	"45-54"	23
	"New London County, CT"	"09011"	"55-64 years"	"55-64"	89
	"New London County, CT"	"09011"	"65-74 years"	"65-74"	136
	"Tolland County, CT"	"09013"	"55-64 years"	"55-64"	29
	"Tolland County, CT"	"09013"	"65-74 years"	"65-74"	59
	"Windham County, CT"	"09015"	"55-64 years"	"55-64"	37
	"Windham County, CT"	"09015"	"65-74 years"	"65-74"	71
	"Kent County, DE"	"10001"	"35-44 years"	"35-44"	10
	"Kent County, DE"	"10001"	"45-54 years"	"45-54"	27
	"Kent County, DE"	"10001"	"55-64 years"	"55-64"	82
	"Kent County, DE"	"10001"	"65-74 years"	"65-74"	124
	"New Castle County, DE"	"10003"	"35-44 years"	"35-44"	19
	"New Castle County, DE"	"10003"	"45-54 years"	"45-54"	66
	"New Castle County, DE"	"10003"	"55-64 years"	"55-64"	161
	"New Castle County, DE"	"10003"	"65-74 years"	"65-74"	288
	"Sussex County, DE"	"10005"	"45-54 years"	"45-54"	34
	"Sussex County, DE"	"10005"	"55-64 years"	"55-64"	81
	"Sussex County, DE"	"10005"	"65-74 years"	"65-74"	211
	"District of Columbia, DC"	"11001"	"35-44 years"	"35-44"	29
	"District of Columbia, DC"	"11001"	"45-54 years"	"45-54"	83
	"District of Columbia, DC"	"11001"	"55-64 years"	"55-64"	248
	"District of Columbia, DC"	"11001"	"65-74 years"	"65-74"	412
	"Alachua County, FL"	"12001"	"45-54 years"	"45-54"	34
	"Alachua County, FL"	"12001"	"55-64 years"	"55-64"	67
	"Alachua County, FL"	"12001"	"65-74 years"	"65-74"	118
	"Baker County, FL"	"12003"	"55-64 years"	"55-64"	11
	"Baker County, FL"	"12003"	"65-74 years"	"65-74"	23
	"Bay County, FL"	"12005"	"35-44 years"	"35-44"	11
	"Bay County, FL"	"12005"	"45-54 years"	"45-54"	32
	"Bay County, FL"	"12005"	"55-64 years"	"55-64"	80
	"Bay County, FL"	"12005"	"65-74 years"	"65-74"	130
	"Bradford County, FL"	"12007"	"55-64 years"	"55-64"	10
	"Bradford County, FL"	"12007"	"65-74 years"	"65-74"	24
	"Brevard County, FL"	"12009"	"35-44 years"	"35-44"	20
	"Brevard County, FL"	"12009"	"45-54 years"	"45-54"	65
	"Brevard County, FL"	"12009"	"55-64 years"	"55-64"	195
	"Brevard County, FL"	"12009"	"65-74 years"	"65-74"	426
	"Broward County, FL"	"12011"	"35-44 years"	"35-44"	76
	"Broward County, FL"	"12011"	"45-54 years"	"45-54"	209
	"Broward County, FL"	"12011"	"55-64 years"	"55-64"	570
	"Broward County, FL"	"12011"	"65-74 years"	"65-74"	933
	"Calhoun County, FL"	"12013"	"65-74 years"	"65-74"	17
	"Charlotte County, FL"	"12015"	"45-54 years"	"45-54"	33
	"Charlotte County, FL"	"12015"	"55-64 years"	"55-64"	83
	"Charlotte County, FL"	"12015"	"65-74 years"	"65-74"	183
	"Citrus County, FL"	"12017"	"35-44 years"	"35-44"	11
	"Citrus County, FL"	"12017"	"45-54 years"	"45-54"	30
	"Citrus County, FL"	"12017"	"55-64 years"	"55-64"	116
	"Citrus County, FL"	"12017"	"65-74 years"	"65-74"	190
	"Clay County, FL"	"12019"	"45-54 years"	"45-54"	22
	"Clay County, FL"	"12019"	"55-64 years"	"55-64"	69
	"Clay County, FL"	"12019"	"65-74 years"	"65-74"	120
	"Collier County, FL"	"12021"	"35-44 years"	"35-44"	14
	"Collier County, FL"	"12021"	"45-54 years"	"45-54"	26
	"Collier County, FL"	"12021"	"55-64 years"	"55-64"	100
	"Collier County, FL"	"12021"	"65-74 years"	"65-74"	164
	"Columbia County, FL"	"12023"	"45-54 years"	"45-54"	13
	"Columbia County, FL"	"12023"	"55-64 years"	"55-64"	38
	"Columbia County, FL"	"12023"	"65-74 years"	"65-74"	72
	"DeSoto County, FL"	"12027"	"55-64 years"	"55-64"	13
	"DeSoto County, FL"	"12027"	"65-74 years"	"65-74"	22
	"Dixie County, FL"	"12029"	"55-64 years"	"55-64"	13
	"Dixie County, FL"	"12029"	"65-74 years"	"65-74"	12
	"Duval County, FL"	"12031"	"35-44 years"	"35-44"	68
	"Duval County, FL"	"12031"	"45-54 years"	"45-54"	152
	"Duval County, FL"	"12031"	"55-64 years"	"55-64"	393
	"Duval County, FL"	"12031"	"65-74 years"	"65-74"	565
	"Escambia County, FL"	"12033"	"35-44 years"	"35-44"	20
	"Escambia County, FL"	"12033"	"45-54 years"	"45-54"	60
	"Escambia County, FL"	"12033"	"55-64 years"	"55-64"	140
	"Escambia County, FL"	"12033"	"65-74 years"	"65-74"	251
	"Flagler County, FL"	"12035"	"45-54 years"	"45-54"	17
	"Flagler County, FL"	"12035"	"55-64 years"	"55-64"	41
	"Flagler County, FL"	"12035"	"65-74 years"	"65-74"	96
	"Gadsden County, FL"	"12039"	"45-54 years"	"45-54"	10
	"Gadsden County, FL"	"12039"	"55-64 years"	"55-64"	31
	"Gadsden County, FL"	"12039"	"65-74 years"	"65-74"	36
	"Gilchrist County, FL"	"12041"	"55-64 years"	"55-64"	17
	"Gilchrist County, FL"	"12041"	"65-74 years"	"65-74"	14
	"Glades County, FL"	"12043"	"65-74 years"	"65-74"	13
	"Gulf County, FL"	"12045"	"55-64 years"	"55-64"	10
	"Gulf County, FL"	"12045"	"65-74 years"	"65-74"	16
	"Hamilton County, FL"	"12047"	"65-74 years"	"65-74"	10
	"Hardee County, FL"	"12049"	"55-64 years"	"55-64"	15
	"Hardee County, FL"	"12049"	"65-74 years"	"65-74"	14
	"Hendry County, FL"	"12051"	"55-64 years"	"55-64"	19
	"Hendry County, FL"	"12051"	"65-74 years"	"65-74"	15
	"Hernando County, FL"	"12053"	"45-54 years"	"45-54"	38
	"Hernando County, FL"	"12053"	"55-64 years"	"55-64"	91
	"Hernando County, FL"	"12053"	"65-74 years"	"65-74"	184
	"Highlands County, FL"	"12055"	"45-54 years"	"45-54"	16
	"Highlands County, FL"	"12055"	"55-64 years"	"55-64"	52
	"Highlands County, FL"	"12055"	"65-74 years"	"65-74"	117
	"Hillsborough County, FL"	"12057"	"35-44 years"	"35-44"	73
	"Hillsborough County, FL"	"12057"	"45-54 years"	"45-54"	179
	"Hillsborough County, FL"	"12057"	"55-64 years"	"55-64"	454
	"Hillsborough County, FL"	"12057"	"65-74 years"	"65-74"	699
	"Holmes County, FL"	"12059"	"55-64 years"	"55-64"	25
	"Holmes County, FL"	"12059"	"65-74 years"	"65-74"	20
	"Indian River County, FL"	"12061"	"45-54 years"	"45-54"	25
	"Indian River County, FL"	"12061"	"55-64 years"	"55-64"	58
	"Indian River County, FL"	"12061"	"65-74 years"	"65-74"	124
	"Jackson County, FL"	"12063"	"55-64 years"	"55-64"	27
	"Jackson County, FL"	"12063"	"65-74 years"	"65-74"	38
	"Jefferson County, FL"	"12065"	"65-74 years"	"65-74"	14
	"Lake County, FL"	"12069"	"35-44 years"	"35-44"	14
	"Lake County, FL"	"12069"	"45-54 years"	"45-54"	42
	"Lake County, FL"	"12069"	"55-64 years"	"55-64"	143
	"Lake County, FL"	"12069"	"65-74 years"	"65-74"	271
	"Lee County, FL"	"12071"	"35-44 years"	"35-44"	38
	"Lee County, FL"	"12071"	"45-54 years"	"45-54"	88
	"Lee County, FL"	"12071"	"55-64 years"	"55-64"	244
	"Lee County, FL"	"12071"	"65-74 years"	"65-74"	475
	"Leon County, FL"	"12073"	"45-54 years"	"45-54"	44
	"Leon County, FL"	"12073"	"55-64 years"	"55-64"	94
	"Leon County, FL"	"12073"	"65-74 years"	"65-74"	131
	"Levy County, FL"	"12075"	"55-64 years"	"55-64"	23
	"Levy County, FL"	"12075"	"65-74 years"	"65-74"	40
	"Madison County, FL"	"12079"	"65-74 years"	"65-74"	16
	"Manatee County, FL"	"12081"	"35-44 years"	"35-44"	18
	"Manatee County, FL"	"12081"	"45-54 years"	"45-54"	59
	"Manatee County, FL"	"12081"	"55-64 years"	"55-64"	129
	"Manatee County, FL"	"12081"	"65-74 years"	"65-74"	236
	"Marion County, FL"	"12083"	"35-44 years"	"35-44"	23
	"Marion County, FL"	"12083"	"45-54 years"	"45-54"	57
	"Marion County, FL"	"12083"	"55-64 years"	"55-64"	192
	"Marion County, FL"	"12083"	"65-74 years"	"65-74"	388
	"Martin County, FL"	"12085"	"55-64 years"	"55-64"	43
	"Martin County, FL"	"12085"	"65-74 years"	"65-74"	95
	"Miami-Dade County, FL"	"12086"	"35-44 years"	"35-44"	97
	"Miami-Dade County, FL"	"12086"	"45-54 years"	"45-54"	239
	"Miami-Dade County, FL"	"12086"	"55-64 years"	"55-64"	633
	"Miami-Dade County, FL"	"12086"	"65-74 years"	"65-74"	1135
	"Monroe County, FL"	"12087"	"55-64 years"	"55-64"	20
	"Monroe County, FL"	"12087"	"65-74 years"	"65-74"	60
	"Nassau County, FL"	"12089"	"45-54 years"	"45-54"	11
	"Nassau County, FL"	"12089"	"55-64 years"	"55-64"	28
	"Nassau County, FL"	"12089"	"65-74 years"	"65-74"	51
	"Okaloosa County, FL"	"12091"	"35-44 years"	"35-44"	10
	"Okaloosa County, FL"	"12091"	"45-54 years"	"45-54"	31
	"Okaloosa County, FL"	"12091"	"55-64 years"	"55-64"	62
	"Okaloosa County, FL"	"12091"	"65-74 years"	"65-74"	109
	"Okeechobee County, FL"	"12093"	"55-64 years"	"55-64"	28
	"Okeechobee County, FL"	"12093"	"65-74 years"	"65-74"	35
	"Orange County, FL"	"12095"	"35-44 years"	"35-44"	47
	"Orange County, FL"	"12095"	"45-54 years"	"45-54"	141
	"Orange County, FL"	"12095"	"55-64 years"	"55-64"	339
	"Orange County, FL"	"12095"	"65-74 years"	"65-74"	540
	"Osceola County, FL"	"12097"	"35-44 years"	"35-44"	22
	"Osceola County, FL"	"12097"	"45-54 years"	"45-54"	49
	"Osceola County, FL"	"12097"	"55-64 years"	"55-64"	126
	"Osceola County, FL"	"12097"	"65-74 years"	"65-74"	170
	"Palm Beach County, FL"	"12099"	"35-44 years"	"35-44"	46
	"Palm Beach County, FL"	"12099"	"45-54 years"	"45-54"	113
	"Palm Beach County, FL"	"12099"	"55-64 years"	"55-64"	391
	"Palm Beach County, FL"	"12099"	"65-74 years"	"65-74"	721
	"Pasco County, FL"	"12101"	"35-44 years"	"35-44"	28
	"Pasco County, FL"	"12101"	"45-54 years"	"45-54"	94
	"Pasco County, FL"	"12101"	"55-64 years"	"55-64"	231
	"Pasco County, FL"	"12101"	"65-74 years"	"65-74"	460
	"Pinellas County, FL"	"12103"	"35-44 years"	"35-44"	40
	"Pinellas County, FL"	"12103"	"45-54 years"	"45-54"	122
	"Pinellas County, FL"	"12103"	"55-64 years"	"55-64"	390
	"Pinellas County, FL"	"12103"	"65-74 years"	"65-74"	670
	"Polk County, FL"	"12105"	"35-44 years"	"35-44"	36
	"Polk County, FL"	"12105"	"45-54 years"	"45-54"	116
	"Polk County, FL"	"12105"	"55-64 years"	"55-64"	293
	"Polk County, FL"	"12105"	"65-74 years"	"65-74"	492
	"Putnam County, FL"	"12107"	"45-54 years"	"45-54"	13
	"Putnam County, FL"	"12107"	"55-64 years"	"55-64"	47
	"Putnam County, FL"	"12107"	"65-74 years"	"65-74"	66
	"St. Johns County, FL"	"12109"	"45-54 years"	"45-54"	20
	"St. Johns County, FL"	"12109"	"55-64 years"	"55-64"	52
	"St. Johns County, FL"	"12109"	"65-74 years"	"65-74"	144
	"St. Lucie County, FL"	"12111"	"35-44 years"	"35-44"	12
	"St. Lucie County, FL"	"12111"	"45-54 years"	"45-54"	51
	"St. Lucie County, FL"	"12111"	"55-64 years"	"55-64"	135
	"St. Lucie County, FL"	"12111"	"65-74 years"	"65-74"	244
	"Santa Rosa County, FL"	"12113"	"35-44 years"	"35-44"	13
	"Santa Rosa County, FL"	"12113"	"45-54 years"	"45-54"	21
	"Santa Rosa County, FL"	"12113"	"55-64 years"	"55-64"	61
	"Santa Rosa County, FL"	"12113"	"65-74 years"	"65-74"	114
	"Sarasota County, FL"	"12115"	"35-44 years"	"35-44"	21
	"Sarasota County, FL"	"12115"	"45-54 years"	"45-54"	44
	"Sarasota County, FL"	"12115"	"55-64 years"	"55-64"	114
	"Sarasota County, FL"	"12115"	"65-74 years"	"65-74"	264
	"Seminole County, FL"	"12117"	"35-44 years"	"35-44"	20
	"Seminole County, FL"	"12117"	"45-54 years"	"45-54"	39
	"Seminole County, FL"	"12117"	"55-64 years"	"55-64"	125
	"Seminole County, FL"	"12117"	"65-74 years"	"65-74"	193
	"Sumter County, FL"	"12119"	"55-64 years"	"55-64"	43
	"Sumter County, FL"	"12119"	"65-74 years"	"65-74"	123
	"Suwannee County, FL"	"12121"	"45-54 years"	"45-54"	10
	"Suwannee County, FL"	"12121"	"55-64 years"	"55-64"	36
	"Suwannee County, FL"	"12121"	"65-74 years"	"65-74"	46
	"Taylor County, FL"	"12123"	"55-64 years"	"55-64"	17
